direction,zone,title,money,meters,location
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
南,2室1厅  ,长寿路778号 2室1厅 5200元,5200,39平米  ,长寿路778号  
direction,zone,title,money,meters,location
西南,2室1厅  ,马当小区 2室1厅 8000元,8000,61平米  ,马当小区  
南,2室2厅  ,地铁房，精装修，拎包入住，高区朝南，随时看，有钥匙,9200,88平米  ,慧芝湖花园  
南,2室2厅  ,好房出租，装修保养好，房东好说话，和蔼可亲,12000,120平米  ,联洋年华  
南 北,2室1厅  ,东体小区 2室1厅 5500元,5500,50平米  ,东体小区  
南,1室1厅  ,华山花苑 1室1厅 6000元,6000,43平米  ,华山花苑  
南,2室1厅  ,新上大两房，房子随时看房，房东诚心出租,5000,78平米  ,航华二村嘉丰公寓  
西南,1室1厅  ,田林十一村一房，精装修，地铁9、1/12号线，看房方便,4300,41平米  ,田林十一村  
南,2室1厅  ,闵行莘庄 家具家电齐全 简单装修 看房方便 拎包入住,3600,50平米  ,莘松八村  
南,1室1厅  ,世纪大道ZUI好的房子了解一下+装修亮眼+拎包入住！,4500,37平米  ,梅园六街坊  
南 北,2室2厅  ,九歌茗园 2室2厅 7800元,7800,93平米  ,九歌茗园  
南,2室2厅  ,万科城市花园 2室2厅 4500元,4500,76平米  ,万科城市花园  
西南,2室1厅  ,华山花苑 2室1厅 9500元,9500,78平米  ,华山花苑  
南,2室1厅  ,共和小区 2室1厅 3600元,3600,50平米  ,共和小区  
南,4室2厅  ,风度国际3+1四房，房子空观，可提前看房，高区景观房,17000,152平米  ,风度国际  
南,2室0厅  ,公交新村 2室0厅 5300元,5300,44平米  ,公交新村  
北,1室1厅  ,邮电新村 1室1厅 3200元,3200,21平米  ,邮电新村  
南,2室2厅  ,知雅汇(公寓) 2室2厅 5200元,5200,97平米  ,知雅汇(公寓)  
南,2室2厅  ,南天大楼 2室2厅 8500元,8500,92平米  ,南天大楼  
南,2室2厅  ,精装修两房两厅两卫，家具全装进口,6500,131平米  ,水清三村  
南,2室2厅  ,君御豪庭 欧式装修 全屋地暖 户型好 带车位 近地铁,17000,115平米  ,君御豪庭  
南,3室2厅  ,金桥爱建园 3室2厅 12000元,12000,134平米  ,金桥爱建园  
南,3室2厅  ,两梯两户/中区采光无遮挡/看房方便/拎包入住,13000,147平米  ,宏润花园  
南,2室2厅  ,保利西子湾 2室2厅 4800元,4800,90平米  ,保利西子湾  
南,1室1厅  ,电梯房   边套全明   一房一厅,4200,52平米  ,凌高小区  
南,2室2厅  ,风度国际 高层景观 温馨明亮 近韩国街 精装修带地暖,13500,113平米  ,风度国际  
暂无数据,1室1厅  ,金桥酒店公寓 1室1厅 7000元,7000,83平米  ,金桥酒店公寓  
暂无数据,3室2厅  ,嘉和阳光城 3室2厅 7200元,7200,134平米  ,嘉和阳光城  
南,2室1厅  ,怡田小区 2室1厅 2200元,2200,75平米  ,怡田小区  
南,2室1厅  ,大众汽车公寓 2室1厅 9000元,9000,97平米  ,大众汽车公寓  
南,2室2厅  ,三花现代城 2室2厅 6400元,6400,90平米  ,三花现代城  
